,Opponent,Position,xG,Difficulty_xG,Av_GW_Points,Difficulty_points,FD_combined
52,CRY (A),DEF,1.333,2,4.91,1,2
53,CRY (H),DEF,1.575,4,2.63,3,3
54,EVE (A),DEF,1.1,1,3.52,2,2
55,EVE (H),DEF,1.15,3,4.58,1,2
56,FUL (A),DEF,1.175,1,1.94,5,3
57,FUL (H),DEF,1.333,4,2.65,3,3
58,IPS (A),DEF,1.075,1,4.18,1,2
59,IPS (H),DEF,1.167,3,3,2,2
60,LEI (A),DEF,1.2,2,2.24,5,3
61,LEI (H),DEF,1.55,4,2.94,2,3
62,LIV (A),DEF,1.65,4,2.26,4,5
63,LIV (H),DEF,2.733,5,1.81,5,5
64,MCI (A),DEF,2.733,5,2.54,4,5
65,MCI (H),DEF,1.325,3,2.51,4,4
66,MUN (A),DEF,1.45,3,2.71,3,3
67,MUN (H),DEF,0.867,1,4.38,1,2
68,NEW (A),DEF,1.575,4,3.38,2,3
69,NEW (H),DEF,1.133,2,2.85,2,2
70,NFO (A),DEF,1.475,3,2.36,4,4
71,NFO (H),DEF,1.067,2,2.77,3,3
72,SOU (A),DEF,1.425,2,4.03,1,2
73,SOU (H),DEF,0.6,1,4.38,1,2
74,TOT (A),DEF,1.7,4,1.89,5,5
75,TOT (H),DEF,1,2,3.09,2,3
76,WHU (A),DEF,1.6,4,3.03,2,2
77,WHU (H),DEF,1.275,3,2.8,3,2
78,WOL (A),DEF,1.025,1,2.57,4,3
79,WOL (H),DEF,1.1,2,3.83,1,2
80,ARS (A),MID,0.467,5,2.65,5,5
81,ARS (H),MID,1.35,4,3.1,5,4
82,AVL (A),MID,0.9,4,3.42,4,4
83,AVL (H),MID,1.925,2,4.34,2,2
84,BHA (A),MID,1.5,2,3.47,3,3
85,BHA (H),MID,1.3,4,3.68,3,3
86,BOU (A),MID,0.775,5,2.85,5,5
87,BOU (H),MID,1.267,5,4.38,2,4
88,BRE (A),MID,1.633,2,3.79,3,2
89,BRE (H),MID,1.55,3,4.51,1,2
90,CHE (A),MID,1.433,2,3.53,3,3
91,CHE (H),MID,1.7,2,3,5,4
92,CRY (A),MID,0.867,5,3.62,3,4
93,CRY (H),MID,1.675,2,4.03,2,2
94,EVE (A),MID,0.6,5,3.39,4,5
95,EVE (H),MID,1.3,4,4.66,1,3
96,FUL (A),MID,0.875,4,4.08,2,3
97,FUL (H),MID,1.067,5,2.97,5,5
98,IPS (A),MID,1.425,3,4.21,2,2
99,IPS (H),MID,2.4,1,5.28,1,2
