Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
38,Jhon,Duran,Aston Villa,FWD,58,5,73,2024-12-14T17:30:00Z,1,0,1,0,0,0,1,0,0,0,21,23.2,2.7,30.0,5.6,0.08,0.01,0.09,0.98,31939,12199,16,NFO (A),2
39,Joe,Gauci,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,440,1677,16,NFO (A),2
40,Kortney,Hause,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,540,1384,16,NFO (A),2
41,Samuel,Iling Jr,Aston Villa,MID,54,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,18,16,NFO (A),2
42,Boubacar,Kamara,Aston Villa,MID,50,2,90,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,16,16.2,6.3,0.0,2.3,0.00,0.02,0.02,1.54,365,266,16,NFO (A),2
43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,24,16,NFO (A),2
44,Ezri,Konsa,Aston Villa,DEF,44,1,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,8,14.4,1.8,14.0,3.0,0.24,0.01,0.25,1.78,29717,23247,16,NFO (A),2
45,Ian,Maatsen,Aston Villa,DEF,46,1,1,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,-1,0.2,0.6,0.0,0.1,0.00,0.00,0.00,0.24,1559,4785,16,NFO (A),2
46,Filip,Marschall,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2,16,NFO (A),2
47,Emiliano,Martinez,Aston Villa,GK,50,2,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,4,0,11,32.6,0.0,0.0,3.3,0.00,0.00,0.00,1.78,42199,41893,16,NFO (A),2
48,John,McGinn,Aston Villa,MID,52,6,90,2024-12-14T17:30:00Z,0,1,0,2,0,0,0,0,0,1,27,32.4,58.5,14.0,10.5,0.05,0.37,0.42,1.78,3048,3872,16,NFO (A),2
49,Tyrone,Mings,Aston Villa,DEF,44,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,691,1325,16,NFO (A),2
50,Kosta,Nedeljkovic,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,482,4335,16,NFO (A),2
51,Robin,Olsen,Aston Villa,GK,45,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,340,816,16,NFO (A),2
52,Pau,Pau,Aston Villa,DEF,44,1,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,8,17.6,3.3,0.0,2.1,0.00,0.02,0.02,1.78,3924,6512,16,NFO (A),2
53,Jacob,Ramsey,Aston Villa,MID,54,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,57,1233,16,NFO (A),2
54,Morgan,Rogers,Aston Villa,MID,54,2,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,7,4.8,12.9,17.0,3.5,0.02,0.06,0.08,1.78,54654,163334,16,NFO (A),2
55,Viljami,Sinisalo,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0,16,NFO (A),2
56,Lino,Sousa,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,158,16,NFO (A),2
57,Youri,Tielemans,Aston Villa,MID,55,3,73,2024-12-14T17:30:00Z,0,0,1,0,0,0,0,0,0,0,11,10.8,17.4,0.0,2.8,0.00,0.13,0.13,0.98,2387,11775,16,NFO (A),2
58,Ollie,Watkins,Aston Villa,FWD,90,1,16,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,3,0.4,2.4,2.0,0.5,0.00,0.01,0.01,0.80,17075,530408,16,NFO (A),2
233,Amadou,Onana,Aston Villa,MID,49,1,16,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,3,4.0,0.9,0.0,0.5,0.00,0.00,0.00,0.80,1851,16794,16,NFO (A),2
569,Jaden,Jaden,Aston Villa,MID,53,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,190,247,16,NFO (A),2
598,Lamare,Bogarde,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,364,1276,16,NFO (A),2
640,Sil,Swinkels,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,170,262,16,NFO (A),2
641,Oliwier,Zych,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,361,1820,16,NFO (A),2
656,Kadan,Young,Aston Villa,MID,45,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1818,1944,16,NFO (A),2
59,Max,Aarons,Bournemouth,DEF,43,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,464,589,16,WHU (H),2
60,Tyler,Adams,Bournemouth,MID,49,1,22,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,-2,0.2,2.1,4.0,0.6,0.04,0.01,0.05,1.15,306,310,16,WHU (H),2
61,Jaidon,Anthony,Bournemouth,MID,45,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,419,16,WHU (H),2
62,David,Brooks,Bournemouth,MID,49,1,22,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,0,0.0,1.3,8.0,0.3,0.07,0.01,0.08,1.15,621,197,16,WHU (H),2
63,Ryan,Christie,Bournemouth,MID,49,3,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,1,29,35.0,69.1,43.0,14.7,0.25,0.38,0.63,2.18,452,764,16,WHU (H),2
64,Lewis,Cook,Bournemouth,MID,50,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,14,21.0,29.3,0.0,5.0,0.00,0.05,0.05,2.18,783,2155,16,WHU (H),2
65,Enes,Enes Ünal,Bournemouth,FWD,54,8,10,2024-12-16T20:00:00Z,1,0,0,1,0,0,0,0,0,3,30,33.0,0.0,9.0,4.2,0.09,0.00,0.09,0.93,4818,832,16,WHU (H),2
66,Romain,Faivre,Bournemouth,MID,50,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,4,16,WHU (H),2
67,Hamed,H.Traorè,Bournemouth,MID,45,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,173,16,WHU (H),2
68,James,Hill,Bournemouth,DEF,39,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6964,1548,16,WHU (H),2
69,Daniel,Jebbison,Bournemouth,FWD,45,0,0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,4470,16,WHU (H),2
70,Milos,Kerkez,Bournemouth,DEF,46,2,90,2024-12-16T20:00:00Z,0,0,0,1,0,0,0,0,0,0,11,18.4,29.2,9.0,5.7,0.03,0.03,0.06,2.18,153269,15859,16,WHU (H),2
