,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
206,41,Samuel,Iling Jr,Aston Villa,MID,55,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,179,1639,2,ARS (H),5
211,42,Boubacar,Kamara,Aston Villa,MID,50,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,23,61,2,ARS (H),5
216,43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,587,2,ARS (H),5
221,44,Ezri,Konsa,Aston Villa,DEF,45,1,90,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,7,11.2,1.0,2.0,1.4,0.00,0.01,0.01,0.87,40166,72009,2,ARS (H),5
226,45,Ian,Maatsen,Aston Villa,DEF,50,1,14,2024-08-24T16:30:00Z,0,0,0,1,0,0,0,0,0,0,0,4.4,15.1,0.0,2.0,0.00,0.09,0.09,0.38,11415,42612,2,ARS (H),5
231,46,Filip,Marschall,Aston Villa,GK,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,16,2,ARS (H),5
236,47,Emiliano,Martinez,Aston Villa,GK,50,1,90,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,2,0,10,18.4,0.0,0.0,1.8,0.00,0.00,0.00,0.87,30065,72680,2,ARS (H),5
241,48,John,McGinn,Aston Villa,MID,55,3,64,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,10,0.6,2.0,0.0,0.3,0.00,0.01,0.01,0.36,7255,24170,2,ARS (H),5
246,49,Tyrone,Mings,Aston Villa,DEF,45,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,65,2032,2,ARS (H),5
251,50,Kosta,Nedeljkovic,Aston Villa,DEF,40,1,74,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,1,15.6,5.2,0.0,2.1,0.00,0.01,0.01,0.75,9069,3334,2,ARS (H),5
256,51,Robin,Olsen,Aston Villa,GK,45,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,60,1240,2,ARS (H),5
261,52,Pau,Pau,Aston Villa,DEF,45,1,90,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,3,8.4,1.0,0.0,0.9,0.00,0.01,0.01,0.87,8313,10362,2,ARS (H),5
266,53,Jacob,Ramsey,Aston Villa,MID,55,1,25,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,7,7.2,11.4,23.0,4.2,0.03,0.01,0.04,0.51,3567,3000,2,ARS (H),5
271,54,Morgan,Rogers,Aston Villa,MID,50,2,90,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,16,14.4,23.4,15.0,5.3,0.11,0.07,0.18,0.87,54529,46164,2,ARS (H),5
276,55,Viljami,Sinisalo,Aston Villa,GK,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,13,2,ARS (H),5
281,56,Lino,Sousa,Aston Villa,DEF,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,7607,2,ARS (H),5
286,57,Youri,Tielemans,Aston Villa,MID,55,2,90,2024-08-24T16:30:00Z,0,0,0,2,0,0,0,0,0,0,8,21.0,25.1,0.0,4.6,0.00,0.04,0.04,0.87,28228,8302,2,ARS (H),5
291,58,Ollie,Watkins,Aston Villa,FWD,90,2,64,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,-1,3.2,21.3,23.0,4.8,0.87,0.00,0.87,0.36,47103,362121,2,ARS (H),5
296,233,Amadou,Onana,Aston Villa,MID,50,1,75,2024-08-24T16:30:00Z,0,0,0,1,0,0,1,0,0,0,2,0.6,2.0,6.0,0.9,0.11,0.01,0.12,0.49,151861,22530,2,ARS (H),5
301,569,Jaden,Jaden,Aston Villa,MID,55,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,251,1475,2,ARS (H),5
306,598,Lamare,Bogarde,Aston Villa,DEF,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1524,916,2,ARS (H),5
319,59,Max,Aarons,Bournemouth,DEF,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1325,3695,2,NEW (H),3
324,60,Tyler,Adams,Bournemouth,MID,50,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,59,221,2,NEW (H),3
329,61,Jaidon,Anthony,Bournemouth,MID,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3692,4999,2,NEW (H),3
334,62,David,Brooks,Bournemouth,MID,50,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,26,338,2,NEW (H),3
339,63,Ryan,Christie,Bournemouth,MID,50,2,63,2024-08-25T13:00:00Z,0,0,1,0,0,0,1,0,0,0,7,8.4,32.3,2.0,4.3,0.00,0.03,0.03,0.25,330,2753,2,NEW (H),3
344,64,Lewis,Cook,Bournemouth,MID,50,2,90,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,14,17.2,22.1,0.0,3.9,0.00,0.30,0.30,1.61,396,918,2,NEW (H),3
349,65,Enes,Enes Ünal,Bournemouth,FWD,55,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,86,1169,2,NEW (H),3
354,66,Romain,Faivre,Bournemouth,MID,50,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,23,603,2,NEW (H),3
359,67,Hamed,H.Traorè,Bournemouth,MID,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1680,2272,2,NEW (H),3
364,68,James,Hill,Bournemouth,DEF,40,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2017,2971,2,NEW (H),3
369,69,Daniel,Jebbison,Bournemouth,FWD,45,1,5,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.06,76066,23659,2,NEW (H),3
374,70,Milos,Kerkez,Bournemouth,DEF,45,2,90,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,4,14.8,2.9,2.0,2.0,0.00,0.01,0.01,1.61,1374,3848,2,NEW (H),3
379,71,Justin,Kluivert,Bournemouth,MID,54,3,71,2024-08-25T13:00:00Z,0,0,1,0,0,0,0,0,0,0,2,1.8,25.9,11.0,3.9,0.04,0.13,0.17,0.59,1050,8426,2,NEW (H),3
384,72,Chris,Mepham,Bournemouth,DEF,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,77,994,2,NEW (H),3
389,74,Dango,O.Dango,Bournemouth,MID,50,1,18,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,6,5.4,0.3,7.0,1.3,0.26,0.00,0.26,1.03,300,323,2,NEW (H),3
394,75,Alex,Paulsen,Bournemouth,GK,40,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,589,2,NEW (H),3
399,76,Philip,Philip,Bournemouth,MID,50,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,275,968,2,NEW (H),3
404,77,Alex,Scott,Bournemouth,MID,50,1,26,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,3,3.4,0.3,1.0,0.5,0.02,0.01,0.03,1.36,382,548,2,NEW (H),3
409,78,Antoine,Semenyo,Bournemouth,MID,55,5,90,2024-08-25T13:00:00Z,0,1,0,1,0,0,0,0,0,0,20,26.0,33.9,38.0,9.8,0.27,1.23,1.50,1.61,46515,12235,2,NEW (H),3
414,79,Marcos,Senesi,Bournemouth,DEF,50,1,90,2024-08-25T13:00:00Z,0,0,0,1,0,0,1,0,0,0,11,29.4,5.3,2.0,3.7,0.00,0.03,0.03,1.61,1473,17400,2,NEW (H),3
419,80,Luis,Sinisterra,Bournemouth,MID,50,1,18,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,7,10.0,10.8,19.0,4.0,0.04,0.05,0.09,1.03,1319,1894,2,NEW (H),3
424,81,Adam,Smith,Bournemouth,DEF,45,1,4,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0.00,0.00,0.00,0.06,808,1413,2,NEW (H),3
429,83,Marcus,Tavernier,Bournemouth,MID,55,9,84,2024-08-25T13:00:00Z,1,0,0,1,0,0,0,0,0,2,32,46.4,48.8,35.0,13.0,0.84,0.04,0.88,1.56,673,2004,2,NEW (H),3
434,84,Mark,Travers,Bournemouth,GK,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,189,1706,2,NEW (H),3
439,85,Illia,Zabarnyi,Bournemouth,DEF,45,2,90,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,13,16.6,0.6,0.0,1.7,0.00,0.01,0.01,1.61,979,2789,2,NEW (H),3
444,152,Kepa,Arrizabalaga,Bournemouth,GK,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1457,4264,2,NEW (H),3
449,580,Dean,Huijsen,Bournemouth,DEF,45,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1087,847,2,NEW (H),3
454,592,Julián,J.Araujo,Bournemouth,DEF,45,2,85,2024-08-25T13:00:00Z,0,0,0,1,0,0,0,0,0,0,4,7.4,0.9,0.0,0.8,0.00,0.00,0.00,1.56,1282,2020,2,NEW (H),3
459,599,Will,Dennis,Bournemouth,GK,40,0,0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3749,1054,2,NEW (H),3
463,617,Francisco Evanilson,Evanilson,Bournemouth,FWD,60,2,71,2024-08-25T13:00:00Z,0,0,1,0,0,0,0,0,0,0,7,11.2,2.8,35.0,4.9,0.75,0.00,0.75,0.59,8938,937,2,NEW (H),3
468,86,Kristoffer,Ajer,Brentford,DEF,45,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,-2,11.8,11.6,2.0,2.5,0.00,0.01,0.01,2.65,2879,3320,2,LIV (A),5
473,87,Ethan,Brierley,Brentford,MID,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,702,879,2,LIV (A),5
478,88,Nathan,Collins,Brentford,DEF,45,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,10,42.6,0.6,40.0,8.3,0.15,0.00,0.15,2.65,12902,4005,2,LIV (A),5
483,89,Mikkel,Damsgaard,Brentford,MID,50,1,24,2024-08-25T15:30:00Z,0,0,0,1,0,0,0,0,0,0,5,2.0,0.6,0.0,0.3,0.00,0.00,0.00,0.67,361,1034,2,LIV (A),5
488,90,Josh,Dasilva,Brentford,MID,50,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,22,375,2,LIV (A),5
493,91,Mark,Flekken,Brentford,GK,45,3,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,6,0,16,54.8,0.0,0.0,5.5,0.00,0.00,0.00,2.65,28809,50733,2,LIV (A),5
498,92,Rico,Henry,Brentford,DEF,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,58,1813,2,LIV (A),5
503,93,Aaron,Hickey,Brentford,DEF,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,33,835,2,LIV (A),5
508,94,Vitaly,Janelt,Brentford,MID,50,2,72,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,10,4.2,1.3,2.0,0.8,0.00,0.01,0.01,2.52,337,1836,2,LIV (A),5
513,95,Mathias,Jensen,Brentford,MID,55,1,65,2024-08-25T15:30:00Z,0,0,0,1,0,0,1,0,0,0,4,3.8,32.8,1.0,3.8,0.02,0.13,0.15,1.99,624,1993,2,LIV (A),5
518,96,Kim,Ji-soo,Brentford,DEF,40,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,943,2194,2,LIV (A),5
523,97,Yunus Emre,Konak,Brentford,MID,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,453,683,2,LIV (A),5
528,98,Keane,Lewis-Potter,Brentford,MID,50,2,65,2024-08-25T15:30:00Z,0,0,0,1,0,0,0,0,0,0,10,7.8,11.6,9.0,2.8,0.06,0.02,0.08,1.99,122,557,2,LIV (A),5
533,99,Bryan,Mbeumo,Brentford,MID,70,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,1,0,0,0,6,5.4,17.7,7.0,3.0,0.03,0.12,0.15,2.65,61882,37957,2,LIV (A),5
538,100,Ben,Mee,Brentford,DEF,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1724,9389,2,LIV (A),5
543,101,Christian,Nørgaard,Brentford,MID,50,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,1,0,0,0,7,7.2,4.1,4.0,1.5,0.10,0.02,0.12,2.65,760,1402,2,LIV (A),5
548,102,Frank,Onyeka,Brentford,MID,50,1,17,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.0,0.00,0.02,0.02,0.13,190,683,2,LIV (A),5
553,103,Myles,Peart-Harris,Brentford,MID,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,355,572,2,LIV (A),5
558,104,Ethan,Pinnock,Brentford,DEF,45,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,7,15.4,0.2,0.0,1.6,0.00,0.00,0.00,2.65,1160,5084,2,LIV (A),5
563,105,Mads,Roerslev,Brentford,DEF,45,1,90,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,-1,5.4,1.4,3.0,1.0,0.01,0.00,0.01,2.65,269,888,2,LIV (A),5
568,106,Kevin,Schade,Brentford,MID,55,1,17,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.1,0.00,0.00,0.00,0.13,374,981,2,LIV (A),5
573,107,Igor Thiago,Thiago,Brentford,FWD,60,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,77,955,2,LIV (A),5
578,108,Ivan,Toney,Brentford,FWD,74,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,19997,302798,2,LIV (A),5
583,109,Hákon,Valdimarsson,Brentford,GK,40,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,11418,7453,2,LIV (A),5
588,110,Yoane,Wissa,Brentford,FWD,60,2,72,2024-08-25T15:30:00Z,0,0,0,2,0,0,0,0,0,0,7,5.0,0.8,2.0,0.8,0.00,0.01,0.01,2.52,135516,30661,2,LIV (A),5
593,111,Yehor,Yarmoliuk,Brentford,MID,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,12619,25077,2,LIV (A),5
598,112,Mathias,Zanka,Brentford,DEF,45,0,0,2024-08-25T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2084,2,LIV (A),5
603,314,Fábio,Carvalho,Brentford,MID,50,1,24,2024-08-25T15:30:00Z,0,0,0,1,0,0,0,0,0,0,2,0.6,1.7,2.0,0.4,0.00,0.01,0.01,0.67,6717,16584,2,LIV (A),5
