,Opponent,z_score,Av_GW_Points,Position,Difficulty,Team
25,MCI (H),-0.23995890264841702,3.26,FWD,5,Man City
26,MUN (A),-0.05100915994874929,3.48,DEF,3,Man Utd
26,MUN (A),0.0371716229765429,4.16,MID,3,Man Utd
26,MUN (A),-0.05100915994874929,3.48,GK,3,Man Utd
26,MUN (A),0.0371716229765429,4.16,FWD,3,Man Utd
27,MUN (H),-0.36623839180535306,2.44,GK,5,Man Utd
27,MUN (H),-0.36623839180535306,2.44,DEF,5,Man Utd
27,MUN (H),0.04726321074439857,4.19,MID,2,Man Utd
27,MUN (H),0.04726321074439857,4.19,FWD,2,Man Utd
28,NEW (A),-0.31329308988753035,2.62,GK,4,Newcastle
28,NEW (A),-0.2801699985234112,3.13,MID,5,Newcastle
28,NEW (A),-0.2801699985234112,3.13,FWD,5,Newcastle
28,NEW (A),-0.31329308988753035,2.62,DEF,4,Newcastle
29,NEW (H),0.358089535435571,4.82,DEF,2,Newcastle
29,NEW (H),-0.06100964612855655,3.84,MID,4,Newcastle
29,NEW (H),-0.06100964612855655,3.84,FWD,4,Newcastle
29,NEW (H),0.358089535435571,4.82,GK,2,Newcastle
30,NFO (A),0.34564394215106276,4.78,DEF,2,Nottingham Forest
30,NFO (A),0.037171622976542903,4.16,FWD,2,Nottingham Forest
30,NFO (A),0.34564394215106276,4.78,GK,2,Nottingham Forest
30,NFO (A),0.037171622976542903,4.16,MID,2,Nottingham Forest
31,NFO (H),0.34564394215106276,4.78,GK,2,Nottingham Forest
31,NFO (H),0.08711754999781225,4.32,FWD,2,Nottingham Forest
31,NFO (H),0.34564394215106276,4.78,DEF,2,Nottingham Forest
31,NFO (H),0.08711754999781225,4.32,MID,2,Nottingham Forest
32,SUN (A),-0.5086858162177632,1.98,GK,5,Spurs
32,SUN (A),-0.21306093986717087,3.35,MID,4,Spurs
32,SUN (A),-0.21306093986717087,3.35,FWD,4,Spurs
32,SUN (A),-0.5086858162177632,1.98,DEF,5,Spurs
33,SUN (H),0.5058307718452175,5.3,DEF,2,Spurs
33,SUN (H),0.5058307718452175,5.3,GK,2,Spurs
33,SUN (H),0.10351614005502166,4.37,FWD,2,Spurs
33,SUN (H),0.10351614005502166,4.37,MID,2,Spurs
34,TOT (A),-0.033857629389518244,3.93,FWD,3,Sunderland
34,TOT (A),0.1639423978459713,4.18,DEF,2,Sunderland
34,TOT (A),0.1639423978459713,4.18,GK,2,Sunderland
34,TOT (A),-0.033857629389518244,3.93,MID,3,Sunderland
35,TOT (H),0.16201952117774435,4.56,FWD,2,Sunderland
35,TOT (H),0.16201952117774435,4.56,MID,2,Sunderland
35,TOT (H),-0.4018945964216599,2.33,DEF,5,Sunderland
35,TOT (H),-0.4018945964216599,2.33,GK,5,Sunderland
36,WHU (A),0.37543388219524393,5.25,MID,2,West Ham
36,WHU (A),0.27699244371071063,4.55,DEF,2,West Ham
36,WHU (A),0.27699244371071063,4.55,GK,2,West Ham
36,WHU (A),0.37543388219524393,5.25,FWD,2,West Ham
37,WHU (H),-0.018936882895542007,3.98,MID,3,West Ham
37,WHU (H),-0.018936882895542007,3.98,FWD,3,West Ham
37,WHU (H),0.2922483322530111,4.6,GK,2,West Ham
37,WHU (H),0.2922483322530111,4.6,DEF,2,West Ham
38,WOL (A),0.41246730921290164,5.37,MID,2,Wolves
38,WOL (A),0.41246730921290164,5.37,FWD,2,Wolves
38,WOL (A),0.322760109337612,4.7,DEF,2,Wolves
38,WOL (A),0.322760109337612,4.7,GK,2,Wolves
39,WOL (H),0.8318250217491117,6.37,DEF,2,Wolves
39,WOL (H),0.8318250217491117,6.37,GK,2,Wolves
39,WOL (H),0.2016386277265191,4.69,MID,2,Wolves
39,WOL (H),0.2016386277265191,4.69,FWD,2,Wolves
