,Opponent,z_score,Av_GW_Points,Position,Difficulty,Team
29,NEW (H),0.18498463249615246,4.27,DEF,2,Newcastle
29,NEW (H),0.010282296307226524,4.05,MID,3,Newcastle
29,NEW (H),0.010282296307226524,4.05,FWD,3,Newcastle
29,NEW (H),0.18498463249615246,4.27,GK,2,Newcastle
30,NFO (A),0.4660019196210651,5.19,DEF,2,Nottingham Forest
30,NFO (A),0.10461376669670633,4.35,FWD,2,Nottingham Forest
30,NFO (A),0.4660019196210651,5.19,GK,2,Nottingham Forest
30,NFO (A),0.10461376669670633,4.35,MID,2,Nottingham Forest
31,NFO (H),0.3381198062198377,4.78,GK,2,Nottingham Forest
31,NFO (H),0.0939991485107438,4.32,FWD,2,Nottingham Forest
31,NFO (H),0.3381198062198377,4.78,DEF,2,Nottingham Forest
31,NFO (H),0.0939991485107438,4.32,MID,2,Nottingham Forest
32,SUN (A),-0.5418107621501967,1.89,GK,5,Spurs
32,SUN (A),-0.15057270474699935,3.54,MID,4,Spurs
32,SUN (A),-0.15057270474699935,3.54,FWD,4,Spurs
32,SUN (A),-0.5418107621501967,1.89,DEF,5,Spurs
33,SUN (H),0.4981841733246852,5.3,DEF,2,Spurs
33,SUN (H),0.4981841733246852,5.3,GK,2,Spurs
33,SUN (H),0.1106296312672174,4.37,FWD,2,Spurs
33,SUN (H),0.1106296312672174,4.37,MID,2,Spurs
34,TOT (A),-0.028686742638648448,3.93,FWD,3,Sunderland
34,TOT (A),0.15655717247087153,4.18,DEF,2,Sunderland
34,TOT (A),0.15655717247087153,4.18,GK,2,Sunderland
34,TOT (A),-0.028686742638648448,3.93,MID,3,Sunderland
35,TOT (H),-0.03317408651726434,3.91,FWD,3,Sunderland
35,TOT (H),-0.03317408651726434,3.91,MID,3,Sunderland
35,TOT (H),-0.5863335793040774,1.74,DEF,5,Sunderland
35,TOT (H),-0.5863335793040774,1.74,GK,5,Sunderland
36,WHU (A),0.3905256460215215,5.26,MID,2,West Ham
36,WHU (A),0.4067188206933438,5.0,DEF,2,West Ham
36,WHU (A),0.4067188206933438,5.0,GK,2,West Ham
36,WHU (A),0.3905256460215215,5.26,FWD,2,West Ham
37,WHU (H),-0.013555001652618075,3.98,MID,3,West Ham
37,WHU (H),-0.013555001652618075,3.98,FWD,3,West Ham
37,WHU (H),0.2847650171848886,4.6,GK,2,West Ham
37,WHU (H),0.2847650171848886,4.6,DEF,2,West Ham
38,WOL (A),0.42394968337826017,5.37,MID,2,Wolves
38,WOL (A),0.42394968337826017,5.37,FWD,2,Wolves
38,WOL (A),0.3152534680620024,4.7,DEF,2,Wolves
38,WOL (A),0.3152534680620024,4.7,GK,2,Wolves
39,WOL (H),0.9626846896289484,6.82,DEF,2,Wolves
39,WOL (H),0.9626846896289484,6.82,GK,2,Wolves
39,WOL (H),0.20315935775650656,4.67,MID,2,Wolves
39,WOL (H),0.20315935775650656,4.67,FWD,2,Wolves
