Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
34,Moussa,Diaby,Aston Villa,MID,65,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,16,11,LIV (A),5
35,Diego Carlos,Diego Carlos,Aston Villa,DEF,45,1,90,2024-11-09T20:00:00Z,0,0,0,2,0,0,0,0,0,0,-1,5.4,0.1,33.0,3.9,0.06,0.00,0.06,2.02,1668,3330,11,LIV (A),5
36,Lucas,Digne,Aston Villa,DEF,47,2,73,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,7,12.8,33.0,9.0,5.5,0.23,0.15,0.38,1.35,38273,78960,11,LIV (A),5
37,Lewis,Dobbin,Aston Villa,MID,50,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1,11,LIV (A),5
38,Jhon,Duran,Aston Villa,FWD,60,1,25,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,3,2.2,0.3,2.0,0.5,0.00,0.00,0.00,0.84,7230,93175,11,LIV (A),5
39,Joe,Gauci,Aston Villa,GK,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1068,2113,11,LIV (A),5
40,Kortney,Hause,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,425,2019,11,LIV (A),5
41,Samuel,Iling Jr,Aston Villa,MID,54,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,31,11,LIV (A),5
42,Boubacar,Kamara,Aston Villa,MID,50,0,16,2024-11-09T20:00:00Z,0,0,0,1,0,0,1,0,0,0,-1,2.4,0.2,0.0,0.3,0.00,0.00,0.00,0.67,298,185,11,LIV (A),5
43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,20,11,LIV (A),5
