,Player ID,Name,Last_Name,Team,Position,Cost_Today,Total Points,Form,xGi,xGc,Points/Game,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW2,GW3,GW4,GW5,GW6,GW7,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
20,15,David,Raya,Arsenal,GK,55,18,9,0,1.28,9,na,0,0,2,18,4,55,0,180,0,0,6,0,0,88278,71675,56.2,0,0,5.6,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,6.5,4.3333,2.6,1.7333,1.5294
22,16,Declan,Rice,Arsenal,MID,65,5,2.5,0.18,1.28,2.5,na,0,0,2,5,0,27,0,174,1,0,0,0,0,69713,25416,25.4,25.7,29,8,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,2,1.3333,0.8,0.5333,0.4706
24,17,Bukayo,Saka,Arsenal,MID,100,18,9,0.15,1.25,9,na,1,2,2,18,2,63,0,166,1,0,0,0,0,98346,240288,92,89.1,105,28.6,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,7.5,5,3,2,1.7647
26,18,William,Saliba,Arsenal,DEF,60,12,6,0.01,1.28,6,na,0,0,2,12,0,50,0,180,0,0,0,0,0,125546,71155,38.6,2.1,0,4.1,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,4.5,3,1.8,1.2,1.0588
28,20,Thomas,Thomas,Arsenal,MID,50,14,7,0.18,1.28,7,na,1,0,2,14,3,43,0,180,0,0,0,0,0,2072,4346,53.8,51.1,9,11.4,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,4.25,2.8333,1.7,1.1333,1
30,21,Kieran,Tierney,Arsenal,DEF,45,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,52,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
32,22,Tomiyasu,Tomiyasu,Arsenal,DEF,50,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,2967,49,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
34,23,Leandro,Trossard,Arsenal,MID,70,8,4,0.2,0.16,4,na,1,0,0,8,1,27,0,35,0,0,0,0,0,46842,3440,37.8,0.8,26,6.5,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,2.25,1.5,0.9,0.6,0.5294
36,24,Benjamin,White,Arsenal,DEF,65,12,6,0.02,1.28,6,na,0,0,2,12,0,45,0,180,0,0,0,0,0,53659,19032,15,8.1,12,3.5,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,4.5,3,1.8,1.2,1.0588
38,25,Oleksandr,Zinchenko,Arsenal,DEF,50,6,3,0,0,3,na,0,0,1,6,0,22,0,68,0,0,0,0,0,22390,46003,7.2,4.9,6,1.8,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,3,2,1.2,0.8,0.7059
