,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
14,1,David,Raya Martín,Arsenal,GK,59.0,2.0,1.32,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.96
29,2,Kepa,Arrizabalaga Revuelta,Arsenal,GK,42.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
44,3,Karl,Hein,Arsenal,GK,40.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
59,4,Tommy,Setford,Arsenal,GK,39.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
74,5,Gabriel,dos Santos Magalhães,Arsenal,DEF,63.0,0.0,1.06,15.0,i,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
89,6,William,Saliba,Arsenal,DEF,60.0,0.0,1.1,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.3
104,7,Riccardo,Calafiori,Arsenal,DEF,58.0,1.0,1.26,15.0,s,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.78
119,8,Jurriën,Timber,Arsenal,DEF,64.0,3.0,1.28,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.84
134,9,Jakub,Kiwior,Arsenal,DEF,54.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
149,10,Myles,Lewis-Skelly,Arsenal,DEF,51.0,1.0,1.1,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.3
164,11,Benjamin,White,Arsenal,DEF,53.0,1.0,1.36,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,4.08
179,12,Oleksandr,Zinchenko,Nott'm Forest,DEF,49.0,0.0,1.06,15.0,a,TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.6666666666666665,2.333333333333333,2.6666666666666665,2.6666666666666665,1.06,0.636,0.4543,0.3975,0.3975
194,13,Brayden,Clarke,Arsenal,DEF,38.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
209,14,Maldini,Kacurri,Arsenal,DEF,39.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
224,15,Josh,Nichols,Arsenal,DEF,38.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
239,16,Bukayo,Saka,Arsenal,MID,101.0,4.0,1.44,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.16,2.16,2.16,0.864
254,17,Martin,Ødegaard,Arsenal,MID,78.0,2.0,1.1800000000000002,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.77,1.77,1.77,0.708
269,18,Noni,Madueke,Arsenal,MID,68.0,1.0,1.1800000000000002,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.77,1.77,1.77,0.708
284,19,Gabriel,Martinelli Silva,Arsenal,MID,68.0,1.0,1.1600000000000001,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.74,1.74,1.74,0.696
299,20,Leandro,Trossard,Arsenal,MID,69.0,6.0,1.42,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.13,2.13,2.13,0.852
314,21,Declan,Rice,Arsenal,MID,71.0,6.0,1.44,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.16,2.16,2.16,0.864
329,22,Mikel,Merino Zazón,Arsenal,MID,60.0,1.0,1.62,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,2.43,2.43,2.43,0.972
344,23,Fábio,Ferreira Vieira,Arsenal,MID,54.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
359,24,Christian,Nørgaard,Arsenal,MID,52.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
374,25,Ethan,Nwaneri,Arsenal,MID,51.0,0.0,1.08,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.62,1.62,1.62,0.648
389,26,Martín,Zubimendi Ibáñez,Arsenal,MID,53.0,2.0,1.2000000000000002,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.8,1.8,1.8,0.72
404,27,Reiss,Nelson,Brentford,MID,48.0,0.0,1.08,15.0,d,LEE (H),WOL (A),BOU (H),TOT (H),EVE (A),0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,inf,inf,inf,3.24,1.08
419,28,Ismeal,Kabia,Arsenal,MID,45.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
434,29,Albert,Sambi Lokonga,Arsenal,MID,45.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
449,30,Kai,Havertz,Arsenal,FWD,73.0,0.0,1.06,15.0,i,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
464,31,Gabriel,Fernando de Jesus,Arsenal,FWD,64.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,inf,1.59,1.59,1.59,0.636
479,32,Emiliano,Martínez Romero,Aston Villa,GK,51.0,4.0,1.34,15.0,d,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.34,0.804,0.5025,0.5025
494,33,Marco,Bizot,Aston Villa,GK,43.0,0.0,1.08,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.08,0.648,0.405,0.405
509,34,Joe,Gauci,Aston Villa,GK,40.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
524,35,Filip,Marschall,Aston Villa,GK,40.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
539,36,Matty,Cash,Aston Villa,DEF,47.0,9.0,1.48,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.48,0.888,0.555,0.555
554,37,Lucas,Digne,Aston Villa,DEF,45.0,0.0,1.24,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.24,0.744,0.465,0.465
569,38,Ezri,Konsa Ngoyo,Aston Villa,DEF,44.0,2.0,1.32,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.32,0.792,0.495,0.495
584,39,Ian,Maatsen,Aston Villa,DEF,42.0,2.0,1.1400000000000001,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.14,0.684,0.4275,0.4275
599,40,Tyrone,Mings,Aston Villa,DEF,43.0,0.0,1.06,15.0,i,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
614,41,Pau,Torres,Aston Villa,DEF,43.0,5.0,1.34,15.0,d,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.34,0.804,0.5025,0.5025
629,42,Andrés,García,Aston Villa,DEF,39.0,0.0,1.06,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
644,43,Álex,Moreno Lopera,Aston Villa,DEF,40.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
659,44,Lamare,Bogarde,Aston Villa,DEF,40.0,1.0,1.1400000000000001,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.14,0.684,0.4275,0.4275
674,45,Lino,da Cruz Sousa,Aston Villa,DEF,39.0,0.0,1.06,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
689,46,Yasin,Özcan,Aston Villa,DEF,40.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.6666666666666665,2.6666666666666665,2.6666666666666665,inf,1.06,0.636,0.3975,0.3975
704,47,Morgan,Rogers,Aston Villa,MID,69.0,2.0,1.58,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.58,0.79,0.79
719,48,Youri,Tielemans,Aston Villa,MID,59.0,2.0,1.22,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.22,0.61,0.61
734,49,Leon,Bailey,Aston Villa,MID,55.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
749,50,Emiliano,Buendía Stati,Aston Villa,MID,53.0,6.0,1.24,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.24,0.62,0.62
764,51,Samuel,Iling-Junior,Aston Villa,MID,55.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
779,52,Jacob,Ramsey,Newcastle,MID,53.0,1.0,1.1,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.65,0.66,0.55,0.4714,0.3667
794,53,Donyell,Malen,Aston Villa,MID,51.0,1.0,1.34,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.34,0.67,0.67
809,54,John,McGinn,Aston Villa,MID,54.0,2.0,1.32,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.32,0.66,0.66
824,55,Ross,Barkley,Aston Villa,MID,48.0,0.0,1.1600000000000001,15.0,i,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.16,0.58,0.58
839,56,Enzo,Barrenechea,Aston Villa,MID,50.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
854,57,Lewis,Dobbin,Aston Villa,MID,50.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
869,58,Boubacar,Kamara,Aston Villa,MID,49.0,10.0,1.6,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.6,0.8,0.8
884,59,Amadou,Onana,Aston Villa,MID,48.0,2.0,1.34,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.34,0.67,0.67
899,60,Ben,Broggio,Aston Villa,MID,45.0,0.0,1.06,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
914,61,Leander,Dendoncker,Aston Villa,MID,45.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
929,62,Jamaldeen,Jimoh-Aloba,Aston Villa,MID,45.0,0.0,1.06,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
944,63,Kadan,Young,Aston Villa,MID,44.0,0.0,1.06,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
959,64,Ollie,Watkins,Aston Villa,FWD,85.0,2.0,1.42,15.0,a,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.42,0.71,0.71
974,65,Zépiqueno,Redmond,Aston Villa,FWD,45.0,0.0,1.06,15.0,u,WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,inf,inf,1.06,0.53,0.53
989,66,Norberto,Murara Neto,Bournemouth,GK,45.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1004,67,Đorđe,Petrović,Bournemouth,GK,45.0,7.0,1.3,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.95,0.975,0.65,0.4875
1019,68,Will,Dennis,Bournemouth,GK,40.0,0.0,1.06,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1034,69,Callan,McKenna,Bournemouth,GK,40.0,0.0,1.06,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1049,70,Alex,Paulsen,Bournemouth,GK,40.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1064,71,Illia,Zabarnyi,Bournemouth,DEF,50.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1079,72,Marcos,Senesi Barón,Bournemouth,DEF,50.0,8.0,1.32,15.0,d,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.98,0.99,0.66,0.495
1094,73,Adam,Smith,Bournemouth,DEF,44.0,6.0,1.22,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.83,0.915,0.61,0.4575
1109,74,Adrien,Truffert,Bournemouth,DEF,45.0,6.0,1.28,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.92,0.96,0.64,0.48
1124,75,Matai,Akinmboni,Bournemouth,DEF,39.0,0.0,1.06,15.0,d,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1139,76,Owen,Bevan,Bournemouth,DEF,39.0,0.0,1.06,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1154,77,James,Hill,Bournemouth,DEF,40.0,1.0,1.08,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.62,0.81,0.54,0.405
1169,78,Julián,Araujo Zúñiga,Bournemouth,DEF,38.0,0.0,1.06,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1184,79,Chris,Mepham,Bournemouth,DEF,40.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.59,0.795,0.53,0.3975
1199,80,Julio,Soler Barreto,Bournemouth,DEF,40.0,0.0,1.08,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,2.0,2.6666666666666665,inf,1.62,0.81,0.54,0.405
1214,81,Justin,Kluivert,Bournemouth,MID,70.0,3.0,1.1800000000000002,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.54,3.54,1.77,0.708,0.4425
1229,82,Antoine,Semenyo,Bournemouth,MID,77.0,3.0,1.22,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.66,3.66,1.83,0.732,0.4575
1244,83,Dango,Ouattara,Brentford,MID,60.0,4.0,1.52,15.0,a,LEE (H),WOL (A),BOU (H),TOT (H),EVE (A),0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,inf,inf,inf,4.56,1.52
1259,84,Marcus,Tavernier,Bournemouth,MID,55.0,5.0,1.34,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,4.02,4.02,2.01,0.804,0.5025
1274,85,Tyler,Adams,Bournemouth,MID,50.0,0.0,1.3,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.9,3.9,1.95,0.78,0.4875
1289,86,David,Brooks,Bournemouth,MID,50.0,1.0,1.1,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.3,3.3,1.65,0.66,0.4125
1304,87,Ryan,Christie,Bournemouth,MID,50.0,0.0,1.08,15.0,i,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.24,3.24,1.62,0.648,0.405
1319,88,Lewis,Cook,Bournemouth,MID,49.0,0.0,1.1,15.0,s,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.3,3.3,1.65,0.66,0.4125
1334,89,Philip,Billing,Bournemouth,MID,49.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.18,3.18,1.59,0.636,0.3975
1349,90,Alex,Scott,Bournemouth,MID,50.0,5.0,1.26,15.0,a,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.78,3.78,1.89,0.756,0.4725
1364,91,Luis,Sinisterra Lucumí,Bournemouth,MID,50.0,0.0,1.06,15.0,u,MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666665,2.6666666666666665,3.18,3.18,1.59,0.636,0.3975
