,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
7229,482,Harrison,Ashby,Newcastle,DEF,39.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7244,483,Miodrag,Pivaš,Newcastle,DEF,38.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7259,484,Matt,Targett,Newcastle,DEF,40.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7274,485,Anthony,Gordon,Newcastle,MID,72.0,10.0,1.4000000000000001,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,2.1,0.84,0.7,0.6,0.4667
7289,486,Anthony,Elanga,Newcastle,MID,66.0,2.0,1.24,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.86,0.744,0.62,0.5314,0.4133
7304,487,Harvey,Barnes,Newcastle,MID,64.0,0.0,1.46,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,2.19,0.876,0.73,0.6257,0.4867
7319,488,Bruno,Guimarães Rodriguez Moura,Newcastle,MID,68.0,10.0,1.6800000000000002,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,2.52,1.008,0.84,0.72,0.56
7334,489,Jacob,Murphy,Newcastle,MID,61.0,0.0,1.1600000000000001,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.74,0.696,0.58,0.4971,0.3867
7349,490,Joelinton Cássio,Apolinário de Lira,Newcastle,MID,59.0,1.0,1.26,15.0,d,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.89,0.756,0.63,0.54,0.42
7364,491,Sandro,Tonali,Newcastle,MID,54.0,1.0,1.2000000000000002,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.9999999999999998,2.333333333333333,2.9999999999999996,1.8,0.72,0.6,0.5143,0.4
