,Player ID,Name,Last_Name,Team,Position,Cost_Today,Minutes,Avail,Gameweek,Form_player_xG_norm,Form_TeamxG_against_norm,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
8083,288,Conor,Coady,Leicester,DEF,40,90,a,28,2.0,2.5478260869565217,13.737201365187715,24.530716723549492,34.34300341296929,45.725255972696246,53.575085324232084
8111,289,Patson,Daka,Leicester,FWD,48,83,a,28,2.0,2.5478260869565217,9.714285714285715,25.500000000000004,36.42857142857143,51.971428571428575,62.900000000000006
8167,291,Wout,Faes,Leicester,DEF,39,90,a,28,2.011094674556213,2.5478260869565217,13.737201365187715,24.530716723549492,34.34300341296929,45.725255972696246,53.575085324232084
8223,293,Mads,Hermansen,Leicester,GK,44,90,a,28,2.0,2.5478260869565217,13.737201365187715,24.530716723549492,34.34300341296929,45.725255972696246,53.575085324232084
8279,295,James,Justin,Leicester,DEF,41,83,a,28,2.044378698224852,2.5478260869565217,13.737201365187715,24.530716723549492,34.34300341296929,45.725255972696246,53.575085324232084
8307,296,Victor,Kristiansen,Leicester,DEF,44,82,a,28,2.0177514792899407,2.5478260869565217,13.737201365187715,24.530716723549492,34.34300341296929,45.725255972696246,53.575085324232084
8419,300,Wilfred,Ndidi,Leicester,MID,49,90,a,28,2.117603550295858,2.5478260869565217,10.688856015779093,28.058247041420117,40.0832100591716,57.18537968441815,69.21034270216963
8558,305,Luke,Thomas,Leicester,DEF,39,90,a,28,2.0,2.808695652173913,12.461300309597526,22.252321981424153,31.15325077399381,41.47832817337462,48.59907120743035
8586,306,Jamie,Vardy,Leicester,FWD,53,90,a,28,2.011094674556213,2.5478260869565217,10.15123978585517,26.647004437869825,38.06714919695689,54.30913285432516,65.72927761341222
8698,310,Alisson,A.Becker,Liverpool,GK,56,90,a,28,2.0,2.3652173913043475,13.21231617647059,34.352022058823536,53.37775735294119,73.24908088235296,93.33180147058826
8727,311,Trent,Alexander-Arnold,Liverpool,DEF,75,88,d,28,2.195266272189349,2.3652173913043475,13.21231617647059,34.352022058823536,53.37775735294119,73.24908088235296,93.33180147058826
8871,316,Darwin,Darwin,Liverpool,FWD,70,67,a,28,2.4659763313609466,2.3652173913043475,29.943998309382927,63.41081994928149,96.87764158918006,132.10587489433644,167.33410819949282
9074,323,Ryan,Gravenberch,Liverpool,MID,50,80,a,28,2.0,2.3652173913043475,23.071428571428573,48.85714285714286,74.64285714285715,101.7857142857143,128.92857142857144
9161,326,Ibrahima,Konaté,Liverpool,DEF,52,90,a,28,2.0,2.3652173913043475,13.21231617647059,34.352022058823536,53.37775735294119,73.24908088235296,93.33180147058826
9190,327,Luis,Luis Díaz,Liverpool,MID,75,90,a,28,2.614644970414201,2.3652173913043475,42.86150147928994,90.7655325443787,138.66956360946745,189.09485946745562,239.5201553254438
9219,328,Mohamed,M.Salah,Liverpool,MID,138,90,a,28,3.7352071005917162,2.3652173913043475,61.98665116934348,131.26584953508032,200.54504790081717,273.47051986475066,346.39599182868415
9537,339,Virgil,Virgil,Liverpool,DEF,64,90,a,28,2.0,2.3652173913043475,13.21231617647059,34.352022058823536,53.37775735294119,73.24908088235296,93.33180147058826
9621,342,Bernardo,Bernardo,Man City,MID,61,90,a,28,2.084319526627219,2.0782608695652174,15.818496407438717,37.33165152155537,53.782887785291635,71.499603761623,84.15440088757398
9733,346,Jérémy,Doku,Man City,MID,62,90,a,28,2.122041420118343,2.0782608695652174,17.68367850098619,41.73348126232741,60.12450690335305,79.93022682445758,94.07716962524653
9761,347,Ederson,Ederson M.,Man City,GK,53,90,a,28,2.0,2.0782608695652174,13.232217573221758,31.276150627615067,45.71129707112971,62.55230125523013,79.39330543933055
9789,348,Phil,Foden,Man City,MID,92,68,a,28,2.106508875739645,2.0782608695652174,17.240772048464358,40.68822203437588,58.61862496477882,77.92828965905889,91.72090729783038
9845,350,Joško,Gvardiol,Man City,DEF,59,90,a,28,2.0,2.0782608695652174,13.232217573221758,31.276150627615067,45.71129707112971,62.55230125523013,79.39330543933055
9873,351,Erling,Haaland,Man City,FWD,147,90,a,28,3.7085798816568047,2.0782608695652174,38.631040433925044,91.1692554240631,131.34553747534514,174.6123027613412,205.51713510848123
10097,359,Kalvin,Phillips,Ipswich,MID,48,90,a,28,2.033284023668639,3.1999999999999997,13.046905818540434,24.907729289940832,39.140717455621306,51.47597386587772,62.15071499013808
10153,361,Rúben,Rúben,Man City,DEF,54,90,a,28,2.022189349112426,2.0782608695652174,13.232217573221758,31.276150627615067,45.71129707112971,62.55230125523013,79.39330543933055
10293,366,Bruno,B.Fernandes,Man Utd,MID,83,90,a,28,2.2107988165680474,2.7304347826086954,28.740384615384617,47.21634615384616,80.0625,96.48557692307692,125.22596153846153
