Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Leeds United,EVE (H),ARS (A),NEW (H),FUL (A),WOL (A),BOU (H),TOT (H),BUR (A),WHU (H),BHA (A),NFO (A),AVL (H),MCI (A),CHE (H),LIV (H),BRE (A),CRY (H),SUN (A),LIV (A),MUN (H),NEW (A),FUL (H),EVE (A),ARS (H),NFO (H),CHE (A),AVL (A),MCI (H),SUN (H),CRY (A),BRE (H),MUN (A),WOL (H),BOU (A),BUR (H),TOT (A),BHA (H),WHU (A)
Liverpool,BOU (H),NEW (A),ARS (H),BUR (A),EVE (H),CRY (A),CHE (A),MUN (H),BRE (A),AVL (H),MCI (A),NFO (H),WHU (A),SUN (H),LEE (A),BHA (H),TOT (A),WOL (H),LEE (H),FUL (A),ARS (A),BUR (H),BOU (A),NEW (H),MCI (H),SUN (A),NFO (A),WHU (H),WOL (A),TOT (H),BHA (A),FUL (H),EVE (A),CRY (H),MUN (A),CHE (H),AVL (A),BRE (H)
Man City,WOL (A),TOT (H),BHA (A),MUN (H),ARS (A),BUR (H),BRE (A),EVE (H),AVL (A),BOU (H),LIV (H),NEW (A),LEE (H),FUL (A),SUN (H),CRY (A),WHU (H),NFO (A),SUN (A),CHE (H),BHA (H),MUN (A),WOL (H),TOT (A),LIV (A),FUL (H),NEW (H),LEE (A),NFO (H),WHU (A),CRY (H),CHE (A),ARS (H),BUR (A),EVE (A),BRE (H),BOU (A),AVL (H)
Man Utd,ARS (H),FUL (A),BUR (H),MCI (A),CHE (H),BRE (A),SUN (H),LIV (A),BHA (H),NFO (A),TOT (A),EVE (H),CRY (A),WHU (H),WOL (A),BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),BUR (A),MCI (H),ARS (A),FUL (H),TOT (H),WHU (A),EVE (A),CRY (H),NEW (A),AVL (H),BOU (A),LEE (H),CHE (A),BRE (H),LIV (H),SUN (A),NFO (H),BHA (A)
Newcastle,AVL (A),LIV (H),LEE (A),WOL (H),BOU (A),ARS (H),NFO (H),BHA (A),FUL (H),WHU (A),BRE (A),MCI (H),EVE (A),TOT (H),BUR (H),SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),LEE (H),WOL (A),AVL (H),LIV (A),BRE (H),TOT (A),MCI (A),EVE (H),MUN (H),CHE (A),SUN (H),CRY (A),BOU (H),ARS (A),BHA (H),NFO (A),WHU (H),FUL (A)
Nottingham Forest,BRE (H),CRY (A),WHU (H),ARS (A),BUR (A),SUN (H),NEW (A),CHE (H),BOU (A),MUN (H),LEE (H),LIV (A),BHA (H),WOL (A),EVE (A),TOT (H),FUL (A),MCI (H),EVE (H),AVL (A),WHU (A),ARS (H),BRE (A),CRY (H),LEE (A),WOL (H),LIV (H),BHA (A),MCI (A),FUL (H),TOT (A),AVL (H),BUR (H),SUN (A),CHE (A),NEW (H),MUN (A),BOU (H)
Sunderland,WHU (H),BUR (A),BRE (H),CRY (A),AVL (H),NFO (A),MUN (A),WOL (H),CHE (A),EVE (H),ARS (H),FUL (A),BOU (H),LIV (A),MCI (A),NEW (H),BHA (A),LEE (H),MCI (H),TOT (A),BRE (A),CRY (H),WHU (A),BUR (H),ARS (A),LIV (H),FUL (H),BOU (A),LEE (A),BHA (H),NEW (A),TOT (H),AVL (A),NFO (H),WOL (A),MUN (H),EVE (A),CHE (H)
Spurs,BUR (H),MCI (A),BOU (H),WHU (A),BHA (A),WOL (H),LEE (A),AVL (H),EVE (A),CHE (H),MUN (H),ARS (A),FUL (H),NEW (A),BRE (H),NFO (A),LIV (H),CRY (A),BRE (A),SUN (H),BOU (A),WHU (H),BUR (A),MCI (H),MUN (A),NEW (H),ARS (H),FUL (A),CRY (H),LIV (A),NFO (H),SUN (A),BHA (H),WOL (A),AVL (A),LEE (H),CHE (A),EVE (H)
West Ham,SUN (A),CHE (H),NFO (A),TOT (H),CRY (H),EVE (A),ARS (A),BRE (H),LEE (A),NEW (H),BUR (H),BOU (A),LIV (H),MUN (A),BHA (A),AVL (H),MCI (A),FUL (H),BHA (H),WOL (A),NFO (H),TOT (A),SUN (H),CHE (A),BUR (A),MUN (H),BOU (H),LIV (A),FUL (A),MCI (H),AVL (A),WOL (H),CRY (A),EVE (H),BRE (A),ARS (H),NEW (A),LEE (H)
Wolves,MCI (H),BOU (A),EVE (H),NEW (A),LEE (H),TOT (A),BHA (H),SUN (A),BUR (H),FUL (A),CHE (A),CRY (H),AVL (A),NFO (H),MUN (H),ARS (A),BRE (H),LIV (A),MUN (A),WHU (H),EVE (A),NEW (H),MCI (A),BOU (H),CHE (H),NFO (A),CRY (A),AVL (H),LIV (H),BRE (A),ARS (H),WHU (A),LEE (A),TOT (H),SUN (H),BHA (A),FUL (H),BUR (A)
